ai_output_corrected_img_0_1.jpg.csv,1486.77,14.5,20,9,11
ai_output_corrected_img_0_1.jpg.csv,1179.16,11.5,13,10,3
ai_output_corrected_img_0_1.jpg.csv,1435.5,14.0,16,11,6
ai_output_corrected_img_0_1.jpg.csv,871.55,8.5,12,5,7
ai_output_corrected_img_0_1.jpg.csv,1563.67,15.25,18,12,7
ai_output_corrected_img_0_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_1.jpg.csv,153.8,1.5,2,1,13
ai_output_corrected_img_0_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_1.jpg.csv,1332.96,13.0,19,6,14
ai_output_corrected_img_0_1.jpg.csv,205.07,2.0,2,2,0
ai_output_corrected_img_0_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_1.jpg.csv,922.82,9.0,11,7,4
ai_output_corrected_img_0_1.jpg.csv,1538.03,15.0,28,2,26
ai_output_corrected_img_0_1.jpg.csv,1025.36,10.0,17,3,14
ai_output_corrected_img_0_1.jpg.csv,769.02,7.5,5,10,5
ai_output_corrected_img_0_1.jpg.csv,179.44,1.75,2,2,1
ai_output_corrected_img_0_1.jpg.csv,974.09,9.5,11,8,3
ai_output_corrected_img_0_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_1.jpg.csv,1256.06,12.25,15,9,6
ai_output_corrected_img_0_1.jpg.csv,1281.7,12.5,11,13,2
ai_output_corrected_img_0_1.jpg.csv,1076.62,10.5,10,11,1
ai_output_corrected_img_0_1.jpg.csv,1050.99,10.25,9,12,3
ai_output_corrected_img_0_1.jpg.csv,102.54,1.0,1,1,0
ai_output_corrected_img_0_1.jpg.csv,1281.7,12.5,15,10,5
ai_output_corrected_img_0_1.jpg.csv,1409.87,13.75,16,11,6
ai_output_corrected_img_0_1.jpg.csv,1204.79,11.75,10,13,3
ai_output_corrected_img_0_1.jpg.csv,820.29,8.0,10,6,4
ai_output_corrected_img_0_1.jpg.csv,179.44,1.75,1,3,2
ai_output_corrected_img_0_1.jpg.csv,1050.99,10.25,12,8,5
