1959.04,22.0,17,26,9
3027.61,34.75,24,49,32
1780.95,20.25,23,21,11
2582.37,29.5,30,29,1
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1780.95,20.5,23,22,9
3116.66,35.0,28,42,14
3116.66,35.0,34,36,2
3650.94,41.0,40,42,2
2760.47,31.5,32,41,21
2226.18,25.75,21,40,19
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
3383.8,38.75,35,45,15
1602.85,18.0,27,9,40
3829.04,43.5,78,9,69
1780.95,20.5,37,4,33
3561.9,40.0,68,12,56
4007.13,45.0,70,34,66
3918.09,44.5,25,64,39
2760.47,31.0,32,30,2
2137.14,24.5,22,27,5
3472.85,39.0,35,58,30
1780.95,20.75,19,22,4
1513.81,17.25,21,15,6
4363.32,49.5,41,58,17
2404.28,27.25,23,43,23
4452.37,50.25,51,55,11
2849.52,32.5,31,34,3
1246.66,14.0,20,7,15
2849.52,32.75,39,26,14
2226.18,25.5,28,23,5
1959.04,22.0,22,27,10
2048.09,23.5,23,22,4
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
