2090.63,23.25,30,17,14
2382.87,26.5,26,27,1
2068.15,23.0,32,14,18
1213.92,13.5,10,15,5
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2270.47,25.25,37,13,24
1685.99,18.75,19,18,1
1798.39,20.0,20,22,5
1618.55,18.0,35,1,34
899.2,10.0,9,11,23
719.36,8.0,8,10,4
1663.51,18.5,15,22,7
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2180.55,24.25,21,28,7
2113.11,23.5,17,30,13
