Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
864.37,9.0,12,6,6
1656.71,17.25,14,20,7
1776.76,18.5,18,21,4
1416.61,14.75,13,19,6
1872.8,19.5,19,16,11
1272.55,13.25,11,11,9
1824.78,19.0,21,17,4
1872.8,19.5,22,17,5
1992.86,20.75,18,24,6
1872.8,19.5,31,8,23
768.33,8.0,10,6,4
1584.68,16.5,14,14,10
528.23,5.5,10,1,9
1776.76,18.5,32,5,27
2160.93,22.5,26,19,7
1152.49,12.0,18,4,15
960.41,10.0,19,1,18
1296.56,13.5,11,16,20
1080.46,11.25,10,13,3
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
744.32,7.75,6,12,6
912.39,9.5,9,10,1
1776.76,18.5,15,24,9
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1296.56,13.5,18,16,11
1536.66,16.0,14,18,4
480.21,5.0,8,2,6
1728.74,18.0,16,21,7
2160.93,22.5,19,26,7
1776.76,18.5,19,18,1
2665.14,27.75,38,17,21
1848.79,19.25,20,18,2
1392.6,14.5,20,9,11
1536.66,16.0,10,22,12
1752.75,18.25,33,3,31
2016.87,21.0,18,24,17
1200.52,12.5,14,11,27
1344.58,14.0,14,14,0
864.37,9.0,8,10,2
1416.61,14.75,15,16,2
1464.63,15.25,17,15,3
1296.56,13.5,15,8,10
1824.78,19.0,18,20,2
792.34,8.25,6,8,5
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2256.97,23.5,18,29,11
